id,Car class,Car,Car_Class_ID,image file,Game,Style,DLC,Owned,FILEPATH,Iracing_ID,ams2_livery_folder
180,Euro Nascar V8GP,Euro Nascar V8GP,4104,Euro_Nascar,Iracing,Sports Car,,No,euronascar,213,
181,Formula Vee,Formula Vee - Cutlass,4107,Formula Vee- Cutlass,Iracing,Open Wheel,,Yes,formulavee\formulavee2,214,
182,Formula Vee,Formula Vee - Conqueror,4107,Formula Vee- Conqueror,Iracing,Open Wheel,,Yes,formulavee\formulavee3,215,
183,Dirt Legends Ford,Dirt Legends Ford '34 Coupe,89,Legends Ford '34 Coupe,Iracing,Dirt Oval,,Yes,legends\dirtford34c,82,
9001,Carrera Cup,Porsche 911 GT3 Cup 3.8,9016,Carrera Cup 3.8,AMS2,Sports Car,,Yes,,,porsche_991_gt3
9002,Carrera Cup,Porsche 911 GT3 Cup 4.0,9016,Carrera Cup 4.0,AMS2,Sports Car,,Yes,,,porsche_991_gt3_2
9003,Caterham 620R,Caterham 620R,9040,Cat620R,AMS2,Sports Car,,Yes,,,caterham_620r
9004,Caterham Academy,Caterham Academy,9002,Cat_Academy,AMS2,Sports Car,,Yes,,,caterham_academy
9005,Caterham Superlight,Caterham Superlight,9041,Cat_Superlight,AMS2,Sports Car,,Yes,,,caterham_superlight
9006,Caterham Supersport,Caterham Supersport,9006,Cat_Supersport,AMS2,Sports Car,,Yes,,,caterham_supersport
9007,Copa Classic B,Chevrolet Chevette,9042,Copa Classic B Chvrolet Chvette,AMS2,Sports Car,,Yes,,,chevette
9008,Copa Classic B,Fiat Uno Classic B,9042,Copa Classic B Uno Classic,AMS2,Sports Car,,Yes,,,uno_classicb
9009,Copa Classic B,MINI Cooper S 1965 B,9042,Copa Classic B Mini Cooper S,AMS2,Sports Car,,Yes,,,mini_coopers_1965b
9010,Copa Classic B,Puma GTE,9042,Copa Classic B Puma GTE,AMS2,Sports Car,,Yes,,,puma_gte
9011,Copa Classic B,Volkswagen Gol Classic B,9042,Copa Classic B Gol Classic B,AMS2,Sports Car,,Yes,,,gol_classicb
9012,Copa Classic B,Volkswagen Passat Classic B,9042,Copa Classic B Passat Classic B,AMS2,Sports Car,,Yes,,,pas_classicb
9013,Copa Classic FL,Puma GTB,9043,Copa Classic FL Puma GTB,AMS2,Sports Car,,Yes,,,puma_gtb
9014,Copa Classic FL,Volkswagen Fusca Classic FL,9043,Copa Classic FL Fusca Classic,AMS2,Sports Car,,Yes,,,fusca_classica
9015,Copa Classic FL,Volkswagen Gol Classic FL,9043,Copa Classic FL Gol Classic,AMS2,Sports Car,,Yes,,,gol_classica
9016,Copa Classic FL,Volkswagen Passat Classic FL,9043,Copa Classic FL Passat Classic,AMS2,Sports Car,,Yes,,,pas_classica
9017,Copa Fusca,Volkswagen Fusca,9044,CopaFusca,AMS2,Sports Car,,Yes,,,fusca_copa
9018,Copa Montana,Chevrolet Montana,9028,Montana,AMS2,Oval,,Yes,,,montana
